,id,Цена,Цена за кв.метр,Количество собственников,Район,Улица,Вид сделки,Количество комнат,Общая площадь,Площадь кухни,Жилая площадь,Этаж,Этажей в доме,Балкон или лоджия,Высота потолков,Санузел,Окна,Ремонт,Техника,Способ продажи,Тип дома,Год постройки,Пассажирский лифт,Грузовой лифт,В доме,Двор,Парковка,Дополнительно,Тип комнат,Мебель,Тип продавца,Data_added,latitude,longitude,center_distance,metro_distance
909,3760164544,35000000.0,277778.0,1 собственник,Leninsky,"Чапаевская ул., 187",возможна ипотека,4,126.0,18.0,60.0,8.0,14.0,лоджия,2.7,"совмещенный, раздельный",на улицу,дизайнерский,"кондиционер, холодильник, стиральная машина, посудомоечная машина, водонагреватель",свободная,кирпичный,2006.0,1,нет,,"закрытая территория, детская площадка",за шлагбаумом во дворе,гардеробная,изолированные,"кухня, хранение одежды, спальные места",агентство,2025-05-07,53.198343,50.102313,0.95,2.46
910,4117353895,4600000.0,83636.0,2 собственника или больше,Krasnoglinsky,"ул. Мира, 83",возможна ипотека,2,55.0,12.1,32.0,1.0,3.0,,,совмещенный,,косметический,,альтернативная,кирпичный,2016.0,нет,нет,,,,,изолированные,,частное лицо,2025-05-07,53.308402,50.315591,19.69,10.93
914,4279955388,4500000.0,131579.0,1 собственник,Kuibyshevsky,"Белорусская ул., 135",,1,34.2,9.0,17.0,3.0,10.0,лоджия,2.7,совмещенный,во двор,дизайнерский,"кондиционер, холодильник, стиральная машина",свободная,кирпичный,2015.0,1,1,,"детская площадка, спортивная площадка",открытая во дворе,,,"кухня, хранение одежды, спальные места",агентство,2025-05-07,53.142054,50.040303,6.56,9.78
918,3662822581,2700000.0,101504.0,Контактное лицо,Promyshlenny,"ул. Красных Коммунаров, 17Б",возможна ипотека,1,26.6,6.0,17.9,2.0,9.0,,2.8,совмещенный,во двор,косметический,"кондиционер, холодильник, водонагреватель",свободная,кирпичный,1990.0,1,1,,"детская площадка, спортивная площадка",открытая во дворе,,,"хранение одежды, спальные места",агентство,2025-05-07,53.210193,50.254964,10.92,0.52
921,4524837215,7950000.0,198750.0,1 собственник,Oktyabrsky,"Революционная ул., 4",,1,40.0,12.8,,3.0,22.0,лоджия,,совмещенный,во двор,косметический,,свободная,монолитный,2009.0,1,2,консьерж,детская площадка,"подземная, открытая во дворе",,,,частное лицо,2025-05-07,53.217262,50.163839,5.46,1.15
922,4406390107,10900000.0,155714.0,1 собственник,Oktyabrsky,"5-я просека, 104",возможна ипотека,свободная планировка,70.0,,62.0,9.0,16.0,,2.7,совмещенный,"во двор, на улицу, на солнечную сторону",евро,"стиральная машина, посудомоечная машина",свободная,монолитно-кирпичный,2004.0,1,1,консьерж,детская площадка,"подземная, открытая во дворе",панорамные окна,,"кухня, хранение одежды, спальные места",частное лицо,2025-05-07,53.245033,50.184159,8.47,4.36
926,4826298601,6900000.0,105505.0,2 собственника или больше,Kuibyshevsky,"Новокомсомольская ул., 40",возможна ипотека,2,65.4,17.2,31.9,6.0,10.0,лоджия,2.5,совмещенный,во двор,косметический,,свободная,кирпичный,2010.0,1,1,,детская площадка,открытая во дворе,,изолированные,,частное лицо,2025-05-07,53.149399,50.089988,4.65,7.31
927,5036154184,5300000.0,81538.0,1 собственник,Krasnoglinsky,"Крайняя ул., 11",,3,65.0,9.0,,3.0,9.0,"балкон, лоджия",,раздельный,"во двор, на улицу",требует ремонта,,свободная,панельный,1982.0,1,нет,газ,детская площадка,открытая во дворе,,изолированные,,частное лицо,2025-05-07,53.340016,50.223173,18.66,14.27
932,4719477996,4790000.0,87729.0,1 собственник,Krasnoglinsky,"ул. Виталия Жалнина, 18",,2,54.6,11.7,31.9,3.0,3.0,балкон,,совмещенный,во двор,евро,кондиционер,свободная,кирпичный,2014.0,нет,нет,,,открытая во дворе,,изолированные,"кухня, хранение одежды",частное лицо,2025-05-07,53.314562,50.311154,19.94,11.55
935,4444846644,13600000.0,166259.0,1 собственник,Oktyabrsky,"ул. Ерошевского, 31",возможна ипотека,2,81.8,20.0,55.0,5.0,16.0,лоджия,2.6,совмещенный,"во двор, на улицу",евро,"кондиционер, холодильник, посудомоечная машина, водонагреватель",свободная,кирпичный,2018.0,1,1,,"детская площадка, спортивная площадка",открытая во дворе,гардеробная,изолированные,"кухня, хранение одежды",частное лицо,2025-05-07,53.211466,50.164917,5.21,1.01
